Emotion,Valence,Arousal,Counts
discontent,4.473573652618612,4.251475409836066,11
tired,5.715552961983476,3.29,3
sleepy,5.752626971218248,3.29,23
satisfied,7.161439322139587,3.813155737704918,0
sad,4.232592592592593,4.138360655737705,0
uncomfortable,4.473573652618612,4.18077868852459,2
embarassed,5.1594428234618945,3.8555737704918034,76
amused,6.753625220557094,4.972581967213115,19
pleased,7.383883377548219,4.562540983606557,8
impressed,6.457033146678917,4.619098360655737,700
afraid,5.51164591119223,5.820942622950819,0
pensive,5.78970098045302,3.8555737704918034,1783
angry,4.99260978190542,5.820942622950819,0
hopeful,6.86484724826141,4.279754098360655,184
content,7.235587340609131,3.9262704918032787,0
contemplative,6.809236234409252,3.8555737704918034,214
calm,7.179976326756973,3.7424590163934424,0
peaceful,6.753625220557094,3.5727868852459017,50
bored,5.085294804992351,3.6010655737704917,7
frustrated,4.6218696895577,5.269508196721311,7
excited,7.031680289817885,5.707827868852458,0
apathetic,5.363349874253141,4.534262295081967,198
happy,7.383883377548219,4.944303278688524,0
melancholy,5.6414049435139315,3.7848770491803276,149
good,7.402420382165605,4.590819672131147,0
relaxed,7.050217294435271,3.7848770491803276,1
engraged,5.400423883487914,5.8774999999999995,1
disappointed,4.251129597209979,4.661516393442623,4
depressed,4.232592592592593,4.0252459016393445,0
worried,5.60433093427916,4.251475409836066,1101
anxious,4.399425634149067,3.5727868852459017,2
distressed,4.417962638766453,5.481598360655737,0
determined,7.0872913036700425,5.07155737704918,3
annoyed,4.918461763435877,5.778524590163935,0
